tf,session,setup,filters,target,is_n,is_win,is_net,is_pf,oos_n,oos_win,oos_net,oos_pf,total_net,PASS
15m,all,sweep,bias+mss,fix2,283,34.6,-522,0.9,114,37.7,236,1.13,-285,False
5m,ny,sweep,bias,struct,380,39.7,-1016,0.84,192,43.8,232,1.08,-784,False
5m,ny,ob,raw,struct,834,42.3,-548,0.96,473,42.3,231,1.03,-317,False
5m,asian,sweep,bias+mss,struct,250,39.6,-846,0.8,108,45.4,228,1.14,-617,False
15m,asian,ob,pd+bias+sweep,fix2,104,30.8,-408,0.79,32,43.8,226,1.49,-182,False
15m,london+ny,ob,pd+bias+sweep+mss,fix2,54,38.9,127,1.14,23,47.8,226,1.72,353,False
5m,london,sweep,bias,fix2,321,30.2,-1854,0.71,171,37.4,225,1.08,-1629,False
1h,asian,ob,pd+bias,fix2,45,28.9,-208,0.75,18,50.0,215,1.94,7,False
5m,ny,sweep,raw,fix2,746,31.1,-3475,0.76,432,36.1,214,1.03,-3261,False
15m,asian,ob,raw,fix2,566,33.9,-1175,0.89,325,35.4,214,1.04,-961,False
15m,ny,ob,raw,fix2,426,33.1,-995,0.87,263,35.7,211,1.05,-783,False
1h,london+ny,ob,pd+sweep,struct,80,41.2,77,1.06,38,47.4,207,1.41,284,False
1h,all,ob,pd+sweep,struct,127,38.6,-27,0.99,53,43.4,206,1.28,179,False
15m,ny,ob,pd+bias+sweep,fix2,99,35.4,-12,0.99,50,40.0,203,1.26,191,False
5m,london+ny,ob,pd+bias+sweep,struct,338,49.7,1307,1.28,139,43.9,198,1.1,1505,False
5m,london+ny,sweep,bias+mss,fix2,244,36.1,-360,0.92,122,37.7,192,1.09,-168,False
1h,ny,ob,pd+bias,fix2,49,46.9,432,1.63,19,47.4,188,1.73,620,False
1h,ny,ob,pd+sweep,fix2,64,35.9,47,1.04,25,44.0,186,1.52,232,False
15m,london,ob,pd+bias,fix2,121,34.7,-124,0.94,45,40.0,182,1.26,58,False
15m,ny,fvg,bias,fix2,244,47.5,1622,1.44,126,38.1,182,1.09,1804,False
1h,asian,fvg,pd+bias,struct,52,48.1,784,2.04,16,50.0,182,1.84,966,False
1h,asian,ob,pd+bias,struct,45,35.6,-128,0.83,19,52.6,181,1.79,53,False
5m,ny,ob,pd+bias+sweep,struct,211,51.7,1126,1.41,87,44.8,173,1.14,1299,False
5m,ny,sweep,bias,fix2,369,32.2,-1409,0.8,189,36.5,171,1.05,-1238,False
5m,london+ny,sweep,bias,struct,707,38.8,-2489,0.8,361,42.7,169,1.03,-2320,False
5m,all,sweep,bias,fix2,1875,33.0,-6967,0.8,1020,35.9,156,1.01,-6811,False
1h,ny,ob,raw,fix2,159,32.7,-300,0.89,82,36.6,149,1.11,-151,False
15m,london,fvg,pd+bias,struct,114,46.5,219,1.12,39,46.2,146,1.26,365,False
1h,london,ob,pd+sweep,fix2,34,38.2,83,1.15,18,44.4,142,1.56,225,False
5m,london+ny,sweep,bias+mss,struct,252,45.2,134,1.03,123,43.9,140,1.08,274,False
15m,ny,ob,pd,struct,356,39.6,-542,0.91,216,41.2,140,1.04,-402,False
15m,london+ny,ob,raw,fix2,535,36.8,292,1.03,338,35.2,137,1.02,430,False
15m,london+ny,ob,pd+bias+sweep,struct,161,41.0,-59,0.98,69,43.5,137,1.14,79,False
1h,all,fvg,pd+bias,struct,108,52.8,1839,2.29,46,39.1,135,1.18,1974,False
5m,asian,ob,pd+sweep,fix2,605,33.9,-1626,0.86,330,36.4,129,1.02,-1497,False
15m,ny,ob,raw,struct,449,39.4,-603,0.92,277,40.8,126,1.03,-477,False
1h,ny,fvg,raw,struct,157,45.9,1155,1.48,59,39.0,125,1.13,1281,False
1h,ny,ob,pd+sweep,struct,64,39.1,-35,0.97,26,46.2,124,1.35,89,False
1h,london+ny,fvg,raw,fix2,232,43.1,982,1.27,111,36.9,122,1.07,1104,False
1h,london,fvg,pd+bias,struct,19,36.8,123,1.36,15,46.7,122,1.58,245,False
15m,london+ny,fvg,pd+bias,fix2,209,44.0,826,1.24,90,37.8,109,1.07,935,False
